company,Opening Date,issue_price,issue_size_cr,sub_qib,sub_hni,sub_retail,Total (x),Listing Date,Open Price on Listing (Rs.),Close Price on Listing (Rs.),listing_gain_pct,year,positive_listing,gmp_pct,sector,market_mood,pe_vs_sector,promoter_holding,revenue_growth_pct,roce_pct,debt_equity,company_age
Atlanta Electricals Ltd.,22-Sep-2025,754.0,687.85,77.97,55.6,10.54,50.62,29-Sep-2025,857.00,823.35,9.2,2026,1,4.616688913232133,Other,neutral,1.2,60,20,15,0.5,10
Ganesh Consumer Products Ltd.,22-Sep-2025,322.0,408.80,2.39,4.31,1.13,2.23,29-Sep-2025,296.05,294.30,-8.6,2026,0,-9.595565971102282,Other,bear,1.2,60,20,15,0.5,10
GK Energy Ltd.,19-Sep-2025,153.0,464.26,77.69,128.29,21.34,65.56,26-Sep-2025,171.00,167.74,9.63,2026,1,3.6184673748158747,Other,neutral,1.2,60,20,15,0.5,10
Saatvik Green Energy Ltd.,19-Sep-2025,465.0,900.20,5.14,10.53,2.72,5.09,26-Sep-2025,465.00,440.70,-5.23,2026,0,-4.519916312879363,Other,bear,1.2,60,20,15,0.5,10
Ivalue Infosolutions Ltd.,18-Sep-2025,299.0,560.29,1.98,1.18,1.22,1.59,25-Sep-2025,284.95,281.85,-5.74,2026,0,-0.2726333213432528,Tech,bear,1.2,60,20,15,0.5,10
VMS TMT Ltd.,17-Sep-2025,99.0,148.50,48.35,226.19,46.34,82.91,24-Sep-2025,104.90,99.65,0.66,2026,1,1.4268548687053841,Other,neutral,1.2,60,20,15,0.5,10
Euro Pratik Sales Ltd.,16-Sep-2025,247.0,451.31,1.13,1.95,1.23,1.29,23-Sep-2025,272.10,248.38,0.56,2026,1,-4.953120466088201,Other,neutral,1.2,60,20,15,0.5,10
Shringar House of Mangalsutra Ltd.,10-Sep-2025,165.0,400.95,41.17,82.36,26.66,42.24,17-Sep-2025,188.50,184.88,12.05,2026,1,8.202251908184385,Other,bull,1.2,60,20,15,0.5,10
Dev Accelerator Ltd.,10-Sep-2025,61.0,143.35,9.05,87.49,160.88,35.82,17-Sep-2025,61.00,64.05,5.0,2026,1,1.8447531587510504,Other,neutral,1.2,60,20,15,0.5,10
Urban Co.Ltd.,10-Sep-2025,103.0,"1,900.24",59.44,77.52,40.1,60.14,17-Sep-2025,162.25,166.83,61.97,2026,1,35.151233999082116,Other,bull,1.2,60,20,15,0.5,10
Amanta Healthcare Ltd.,01-Sep-2025,126.0,126.00,14.8,209.13,53.59,57.53,09-Sep-2025,135.00,141.75,12.5,2026,1,9.335028866522604,Other,bull,1.2,60,20,15,0.5,10
Anlon Healthcare Ltd.,26-Aug-2025,91.0,121.03,1.05,10.5,45.82,6.95,03-Sep-2025,92.00,91.73,0.8,2026,1,3.572998567487853,Other,neutral,1.2,60,20,15,0.5,10
Vikran Engineering Ltd.,26-Aug-2025,97.0,772.00,8.67,61.68,11.27,17.53,03-Sep-2025,99.00,95.71,-1.33,2026,0,1.9958403573485954,Other,neutral,1.2,60,20,15,0.5,10
Mangal Electrical Industries Ltd.,20-Aug-2025,561.0,400.00,5.13,19.7,4.99,7.27,28-Aug-2025,556.00,535.35,-4.57,2026,0,-5.2596525696679155,Other,neutral,1.2,60,20,15,0.5,10
Shreeji Shipping Global Ltd.,19-Aug-2025,252.0,410.71,44.82,72.62,21.57,40.85,26-Aug-2025,270.00,255.10,1.23,2026,1,-0.1896371275536437,Other,neutral,1.2,60,20,15,0.5,10
Gem Aromatics Ltd.,19-Aug-2025,325.0,451.25,22.14,45.9,10.29,21.55,26-Aug-2025,333.10,319.05,-1.83,2026,0,-0.10420970578930822,Other,neutral,1.2,60,20,15,0.5,10
Vikram Solar Ltd.,19-Aug-2025,332.0,"2,079.37",58.56,52.8,7.77,39.73,26-Aug-2025,338.00,356.40,7.35,2026,1,7.336635381367077,Other,neutral,1.2,60,20,15,0.5,10
Patel Retail Ltd.,19-Aug-2025,255.0,242.66,109.09,107.9,41.68,78.04,26-Aug-2025,300.00,287.70,12.82,2026,1,6.25447728646413,Other,bull,1.2,60,20,15,0.5,10
Regaal Resources Ltd.,12-Aug-2025,102.0,306.00,41.34,355.25,55.61,93.42,20-Aug-2025,141.00,131.58,29.0,2026,1,16.84302307000855,Other,bull,1.2,60,20,15,0.5,10
BlueStone Jewellery & Lifestyle Ltd.,11-Aug-2025,517.0,"1,540.65",2.3,0.56,1.32,1.94,19-Aug-2025,510.00,546.00,5.61,2026,1,0.04699507798191549,Other,neutral,1.2,60,20,15,0.5,10
All Time Plastics Ltd.,07-Aug-2025,275.0,400.60,4.76,13.9,5.23,6.28,14-Aug-2025,311.30,283.30,3.02,2026,1,-1.7766198722420126,Other,neutral,1.2,60,20,15,0.5,10
JSW Cement Ltd.,07-Aug-2025,147.0,"3,600.00",7.3,11.56,1.84,6.03,14-Aug-2025,153.50,146.07,-0.63,2026,0,2.059577467182594,Other,neutral,1.2,60,20,15,0.5,10
Highway Infrastructure Ltd.,05-Aug-2025,70.0,130.00,170.38,471.09,159.72,256.33,12-Aug-2025,115.00,120.75,72.5,2026,1,47.56872008571247,Other,bull,1.2,60,20,15,0.5,10
Sri Lotus Developers & Realty Ltd.,30-Jul-2025,150.0,792.00,70.76,61.53,21.13,51.87,06-Aug-2025,178.00,195.67,30.45,2026,1,18.053969635258998,Other,bull,1.2,60,20,15,0.5,10
M&B Engineering Ltd.,30-Jul-2025,385.0,650.00,15.98,40.18,33.54,21.3,06-Aug-2025,385.00,408.65,6.14,2026,1,6.694598693676072,Other,neutral,1.2,60,20,15,0.5,10
National Securities Depository Ltd.,30-Jul-2025,800.0,"4,010.95",42.15,34.75,7.43,28.84,06-Aug-2025,880.00,936.00,17.0,2026,1,11.284908075142901,Other,bull,1.2,60,20,15,0.5,10
Laxmi India Finance Ltd.,29-Jul-2025,158.0,254.26,1.47,1.82,2.17,1.76,05-Aug-2025,137.52,134.11,-15.12,2026,0,-11.007359263815372,Finance,bear,1.2,60,20,15,0.5,10
Aditya Infotech Ltd.,29-Jul-2025,675.0,"1,300.00",56.7,75.52,52.56,58.82,05-Aug-2025,"1,015.00","1,082.65",60.39,2026,1,37.31818681652524,Tech,bull,1.2,60,20,15,0.5,10
Shanti Gold International Ltd.,25-Jul-2025,199.0,360.11,47.35,151.49,30.42,57.04,01-Aug-2025,227.55,229.38,15.27,2026,1,13.776109699397907,Other,bull,1.2,60,20,15,0.5,10
Brigade Hotel Ventures Ltd.,24-Jul-2025,90.0,759.60,2.9,10.1,6.59,4.26,31-Jul-2025,81.10,85.32,-5.2,2026,0,-3.227478117329855,Other,bear,1.2,60,20,15,0.5,10
Indiqube Spaces Ltd.,23-Jul-2025,237.0,700.00,6.68,8.62,13.41,7.63,30-Jul-2025,216.00,217.97,-8.03,2026,0,-0.12406903255798163,Other,bear,1.2,60,20,15,0.5,10
GNG Electronics Ltd.,23-Jul-2025,237.0,460.43,110.35,237.44,48.2,107.66,30-Jul-2025,355.00,333.39,40.67,2026,1,16.542764687730767,Other,bull,1.2,60,20,15,0.5,10
Anthem Biosciences Ltd.,14-Jul-2025,570.0,"3,395.00",77.87,43.67,5.74,47.37,21-Jul-2025,723.05,730.35,28.13,2026,1,19.343707513125672,Other,bull,1.2,60,20,15,0.5,10
Smartworks Coworking Spaces Ltd.,10-Jul-2025,407.0,582.56,10.59,23.63,3.59,10.03,17-Jul-2025,435.00,445.05,9.35,2026,1,5.8711412047145135,Other,neutral,1.2,60,20,15,0.5,10
Travel Food Services Ltd.,07-Jul-2025,1100.0,"2,000.00",3.83,1.62,0.69,2.4,14-Jul-2025,"1,125.00","1,074.80",-2.29,2026,0,-2.2710220513976034,Other,neutral,1.2,60,20,15,0.5,10
Crizac Ltd.,02-Jul-2025,245.0,860.00,57.16,79.49,10.54,44.19,09-Jul-2025,281.05,307.63,25.56,2026,1,15.611282329606505,Other,bull,1.2,60,20,15,0.5,10
Indogulf Cropsciences Ltd.,26-Jun-2025,111.0,200.00,1.95,50.72,15.33,13.5,03-Jul-2025,111.00,110.35,-0.59,2026,0,-6.316706743802679,Other,neutral,1.2,60,20,15,0.5,10
Sambhv Steel Tubes Ltd.,25-Jun-2025,82.0,540.00,27.26,33.62,8.35,21.49,02-Jul-2025,110.00,97.59,19.01,2026,1,10.746984336487465,Other,bull,1.2,60,20,15,0.5,10
HDB Financial Services Ltd.,25-Jun-2025,740.0,"12,500.00",24.05,10.24,1.43,13.07,02-Jul-2025,835.00,840.95,13.64,2026,1,9.255337714535239,Other,bull,1.2,60,20,15,0.5,10
Globe Civil Projects Ltd.,24-Jun-2025,71.0,119.00,40.66,142.1,52.61,60.06,01-Jul-2025,90.00,94.46,33.04,2026,1,24.257682134224545,Other,bull,1.2,60,20,15,0.5,10
Ellenbarrie Industrial Gases Ltd.,24-Jun-2025,400.0,852.53,25.92,15.54,2.14,16.04,01-Jul-2025,486.00,534.60,33.65,2026,1,18.635189345179057,Other,bull,1.2,60,20,15,0.5,10
Kalpataru Ltd.,24-Jun-2025,414.0,"1,590.00",1.93,1.39,1.35,1.78,01-Jul-2025,414.00,432.95,4.58,2026,1,0.32251919132043705,Other,neutral,1.2,60,20,15,0.5,10
Arisinfra Solutions Ltd.,18-Jun-2025,222.0,499.60,1.2,3.07,5.98,1.96,25-Jun-2025,205.00,174.38,-21.45,2026,0,-14.375271130753609,Other,bear,1.2,60,20,15,0.5,10
Oswal Pumps Ltd.,13-Jun-2025,614.0,"1,387.34",35.89,38.19,3.59,24.93,20-Jun-2025,634.00,625.35,1.85,2026,1,3.8562063531062227,Other,neutral,1.2,60,20,15,0.5,10
Scoda Tubes Ltd.,28-May-2025,140.0,220.00,30.23,122.2,20.23,40.52,04-Jun-2025,140.00,147.00,5.0,2026,1,3.9862533289790534,Other,neutral,1.2,60,20,15,0.5,10
Prostarm Info Systems Ltd.,27-May-2025,105.0,168.00,41.8,222.75,38.12,67.65,03-Jun-2025,120.00,126.00,20.0,2026,1,10.410719388698883,Tech,bull,1.2,60,20,15,0.5,10
Aegis Vopak Terminals Ltd.,26-May-2025,235.0,"2,800.00",1.97,0.64,0.78,1.66,02-Jun-2025,220.00,242.00,2.98,2026,1,3.3278022993400684,Other,neutral,1.2,60,20,15,0.5,10
Schloss Bangalore Ltd.,26-May-2025,435.0,"3,500.00",3.74,1.06,0.83,3.05,02-Jun-2025,406.00,435.55,0.13,2026,1,0.3692326480441212,Other,neutral,1.2,60,20,15,0.5,10
Belrise Industries Ltd.,21-May-2025,90.0,"2,150.00",0.98,40.78,4.4,8.15,28-May-2025,100.00,97.41,8.23,2026,1,7.843934971598667,Other,neutral,1.2,60,20,15,0.5,10
Borana Weaves Ltd.,20-May-2025,216.0,144.89,35.27,237.23,192.74,81.31,27-May-2025,243.00,255.15,18.13,2026,1,8.77184071836794,Other,bull,1.2,60,20,15,0.5,10
Ather Energy Ltd.,28-Apr-2025,321.0,"2,980.76",1.3,0.68,1.76,1.26,06-May-2025,328.00,302.30,-5.83,2026,0,-4.480986439793305,Other,bear,1.2,60,20,15,0.5,10
Quality Power Electrical Equipments Ltd.,14-Feb-2025,425.0,858.70,1.01,0.77,1.72,1.05,24-Feb-2025,430.00,387.90,-8.73,2026,0,-6.414324459396473,Other,bear,1.2,60,20,15,0.5,10
Hexaware Technologies Ltd.,12-Feb-2025,708.0,"8,750.00",4.42,0.21,0.1,2.25,19-Feb-2025,745.50,762.55,7.7,2026,1,0.22945515560364438,Tech,neutral,1.2,60,20,15,0.5,10
Ajax Engineering Ltd.,10-Feb-2025,629.0,"1,268.93",6.46,6.41,1.89,4.84,17-Feb-2025,576.00,595.40,-5.34,2026,0,-2.3156391688062716,Other,bear,1.2,60,20,15,0.5,10
Dr.Agarwal's Health Care Ltd.,29-Jan-2025,402.0,"3,027.26",2.48,0.37,0.39,1.39,04-Feb-2025,402.00,401.65,-0.09,2026,0,0.7291658165396679,Other,neutral,1.2,60,20,15,0.5,10
Denta Water & Infra Solutions Ltd.,22-Jan-2025,294.0,220.50,94.71,505.15,89.36,154.4,29-Jan-2025,325.00,341.25,16.07,2026,1,9.657340369927383,Other,bull,1.2,60,20,15,0.5,10
Stallion India Fluorochemicals Ltd.,16-Jan-2025,90.0,199.45,69.58,424.11,94.51,131.49,23-Jan-2025,120.00,126.00,40.0,2026,1,23.296238599874556,Other,bull,1.2,60,20,15,0.5,10
Laxmi Dental Ltd.,13-Jan-2025,428.0,698.06,44.6,147.44,75.35,63.1,20-Jan-2025,542.00,550.55,28.63,2026,1,12.931887773848754,Other,bull,1.2,60,20,15,0.5,10
Quadrant Future Tek Ltd.,07-Jan-2025,290.0,290.00,56.72,265.68,256.63,108.05,14-Jan-2025,370.00,444.00,53.1,2026,1,30.598064031703924,Other,bull,1.2,60,20,15,0.5,10
Standard Glass Lining Technology Ltd.,06-Jan-2025,140.0,410.05,131.6,273.52,65.72,129.83,13-Jan-2025,176.00,163.35,16.68,2026,1,8.97985645041969,Tech,bull,1.2,60,20,15,0.5,10
Powerica Ltd.,24-Mar-2026,395.0,"1,100.00",2.53,0.45,0.15,1.38,02-Apr-2026,366.00,390.00,-1.27,2025,0,-3.1688318076648567,Other,neutral,1.2,60,20,15,0.5,10
Sai Parenteral's Ltd.,24-Mar-2026,392.0,408.79,1.34,2.46,0.12,1.08,02-Apr-2026,400.00,405.70,3.49,2025,1,1.6101428650019725,Other,neutral,1.2,60,20,15,0.5,10
Amir Chand Jagdish Kumar (Exports) Ltd.,24-Mar-2026,212.0,440.00,1.11,13.35,1.41,3.05,02-Apr-2026,200.00,180.00,-15.09,2025,0,-7.841847429556385,Other,bear,1.2,60,20,15,0.5,10
Central Mine Planning & Design Institute Ltd.,20-Mar-2026,172.0,"1,841.45",2.02,0.33,0.31,1.03,30-Mar-2026,160.00,154.06,-10.43,2025,0,-0.5994422963684096,Other,bear,1.2,60,20,15,0.5,10
GSP Crop Science Ltd.,16-Mar-2026,320.0,400.00,1.66,3.09,0.4,1.44,24-Mar-2026,328.00,356.25,11.33,2025,1,7.321733438495517,Other,bull,1.2,60,20,15,0.5,10
Innovision Ltd.,10-Mar-2026,519.0,319.25,12.83,8.33,0.59,3.35,23-Mar-2026,467.70,374.20,-27.9,2025,0,-15.967348827831707,Other,bear,1.2,60,20,15,0.5,10
Rajputana Stainless Ltd.,09-Mar-2026,122.0,254.98,2.5,2.45,0.24,1.06,19-Mar-2026,122.00,113.03,-7.35,2025,0,-4.6333377472985005,Other,bear,1.2,60,20,15,0.5,10
SEDEMAC Mechatronics Ltd.,04-Mar-2026,1352.0,"1,087.35",3.99,0.84,0.19,2.19,11-Mar-2026,"1,535.00","1,451.10",7.33,2025,1,-1.358313645897125,Other,neutral,1.2,60,20,15,0.5,10
Omnitech Engineering Ltd.,25-Feb-2026,227.0,583.00,1.9,0.72,0.33,1.18,05-Mar-2026,202.00,204.93,-9.72,2025,0,-5.911541626347651,Tech,bear,1.2,60,20,15,0.5,10
PNGS Reva Diamond Jewellery Ltd.,24-Feb-2026,386.0,379.52,1.22,1.56,1.34,1.29,04-Mar-2026,375.00,411.70,6.66,2025,1,4.17669062982308,Other,neutral,1.2,60,20,15,0.5,10
Shree Ram Twistex Ltd.,23-Feb-2026,104.0,110.24,3.72,208.14,72.84,41.29,02-Mar-2026,68.00,71.40,-31.35,2025,0,-11.42027366254414,Other,bear,1.2,60,20,15,0.5,10
Clean Max Enviro Energy Solutions Ltd.,23-Feb-2026,1053.0,"3,079.88",1.81,0.57,0.06,1.0,02-Mar-2026,960.00,867.50,-17.62,2025,0,-11.149082894343369,Other,bear,1.2,60,20,15,0.5,10
Gaudium IVF & Women Health Ltd.,20-Feb-2026,79.0,165.00,1.23,13.6,7.36,5.23,27-Feb-2026,83.00,80.26,1.59,2025,1,1.8586420270008372,Other,neutral,1.2,60,20,15,0.5,10
Aye Finance Ltd.,09-Feb-2026,129.0,"1,010.00",1.24,0.05,0.77,1.02,16-Feb-2026,129.00,128.91,-0.07,2025,0,-0.14613530911572994,Finance,neutral,1.2,60,20,15,0.5,10
Fractal Analytics Ltd.,09-Feb-2026,900.0,"2,833.90",2.38,1.07,1.01,2.01,16-Feb-2026,876.00,847.15,-5.87,2025,0,-7.028034112858595,Other,bear,1.2,60,20,15,0.5,10
Shadowfax Technologies Ltd.,20-Jan-2026,124.0,"1,907.27",2.22,0.84,2.33,2.02,28-Jan-2026,112.60,109.98,-11.31,2025,0,-3.357531556454939,Tech,bear,1.2,60,20,15,0.5,10
Amagi Media Labs Ltd.,13-Jan-2026,361.0,"1,788.62",13.85,38.3,9.47,17.08,21-Jan-2026,318.00,348.25,-3.53,2025,0,0.1377990980603223,Other,neutral,1.2,60,20,15,0.5,10
Bharat Coking Coal Ltd.,09-Jan-2026,23.0,"1,068.78",124.54,253.2,46.99,107.48,19-Jan-2026,45.00,40.58,76.43,2025,1,48.23109584112915,Other,bull,1.2,60,20,15,0.5,10
Om Power Transmission Ltd.,09-Apr-2026,,150.06,,,,,,,,0.0,2025,0,-2.7281623643842168,Other,neutral,1.2,60,20,15,0.5,10
Indo Farm Equipment Ltd.,31-Dec-2024,215.0,260.15,97.11,498.49,102.57,159.23,07-Jan-2025,256.00,273.69,27.3,2024,1,20.588382932808297,Other,bull,1.2,60,20,15,0.5,10
Unimech Aerospace & Manufacturing Ltd.,23-Dec-2024,785.0,500.00,133.73,275.23,57.86,128.02,31-Dec-2024,"1,460.00","1,376.25",75.32,2024,1,40.98644681162315,Other,bull,1.2,60,20,15,0.5,10
Senores Pharmaceuticals Ltd.,20-Dec-2024,391.0,582.11,40.12,98.1,94.87,54.02,30-Dec-2024,593.70,557.80,42.66,2024,1,27.356571281400807,Pharma,bull,1.2,60,20,15,0.5,10
Ventive Hospitality Ltd.,20-Dec-2024,643.0,"1,600.00",4.43,14.54,6.19,6.12,30-Dec-2024,716.00,704.35,9.54,2024,1,12.295366877429935,Other,neutral,1.2,60,20,15,0.5,10
Carraro India Ltd.,20-Dec-2024,704.0,"1,250.00",1.56,0.59,0.72,1.12,30-Dec-2024,651.00,636.20,-9.63,2024,0,-8.749608975392066,Other,bear,1.2,60,20,15,0.5,10
