"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Orient Technologies Ltd.","21-Aug-2024","206","214.76","75.42","302.28","66.68","106.39","28-Aug-2024","288.00","302.40","46.8"
"Interarch Building Products Ltd.","19-Aug-2024","900","600.29","79.44","127.48","20.40","65.75","26-Aug-2024","1,220.00","1,196.45","32.94"
"Saraswati Saree Depot Ltd.","12-Aug-2024","160","160.01","63.30","360.72","64.80","108.44","20-Aug-2024","194.00","203.70","27.31"
"Brainbees Solutions Ltd.","06-Aug-2024","465","4,193.73","8.32","4.69","2.38","7.17","13-Aug-2024","651.00","679.10","46.04"
"Unicommerce eSolutions Ltd.","06-Aug-2024","108","276.57","55.83","254.20","136.56","93.66","13-Aug-2024","235.00","210.08","94.52"
"Ola Electric Mobility Ltd.","02-Aug-2024","76","6,145.56","2.84","2.20","3.86","2.85","09-Aug-2024","76.00","91.20","20"
"Ceigall India Ltd.","01-Aug-2024","401","1,252.66","13.13","14.85","3.89","10.14","08-Aug-2024","419.00","386.75","-3.55"
"Akums Drugs & Pharmaceuticals Ltd.","30-Jul-2024","679","1,856.74","36.57","42.15","21.02","35.54","06-Aug-2024","725.00","796.25","17.27"
"Sanstar Ltd.","19-Jul-2024","95","510.15","58.84","135.23","23.54","57.94","26-Jul-2024","109.00","115.07","21.13"
"Emcure Pharmaceuticals Ltd.","03-Jul-2024","1,008","1,952.03","76.95","49.21","7.23","48.13","10-Jul-2024","1,325.05","1,359.15","34.84"
"Bansal Wire Industries Ltd.","03-Jul-2024","256","745.00","62.01","54.16","14.16","44.08","10-Jul-2024","356.00","350.35","36.86"
"Vraj Iron & Steel Ltd.","26-Jun-2024","207","171.00","69.92","221.52","57.55","88.33","03-Jul-2024","240.00","252.00","21.74"
"Allied Blenders & Distillers Ltd.","25-Jun-2024","281","1,500.00","21.76","34.06","4.73","17.61","02-Jul-2024","320.00","317.90","13.13"
"Stanley Lifestyles Ltd.","21-Jun-2024","369","537.02","86.67","121.66","19.27","68.33","28-Jun-2024","494.95","474.75","28.66"
"DEE Development Engineers Ltd.","19-Jun-2024","203","418.01","83.87","147.10","24.89","72.53","26-Jun-2024","339.00","335.32","65.18"
"Akme Fintrade (India) Ltd.","19-Jun-2024","120","132.00","11.68","130.98","45.75","39.44","26-Jun-2024","127.00","133.35","11.12"
"Le Travenues Technology Ltd.","10-Jun-2024","93","740.10","43.10","110.89","54.44","54.40","18-Jun-2024","138.10","165.72","78.19"
"Kronox Lab Sciences Ltd.","03-Jun-2024","136","130.15","35.53","304.26","54.90","82.62","10-Jun-2024","164.95","159.32","17.15"
"Awfis Space Solutions Ltd.","22-May-2024","383","598.93","47.18","130.09","53.74","60.05","30-May-2024","435.00","421.75","10.12"
"Go Digit General Insurance Ltd.","15-May-2024","272","2,614.65","5.61","7.23","4.08","5.70","23-May-2024","286.00","306.00","12.5"
"TBO Tek Ltd.","08-May-2024","920","1,550.81","50.73","50.59","25.94","48.14","15-May-2024","1,426.00","1,406.30","52.86"
"Aadhar Housing Finance Ltd.","08-May-2024","315","3,000.00","31.13","17.31","2.52","19.00","15-May-2024","315.00","329.45","4.59"
"Indegene Ltd.","06-May-2024","452","1,841.76","77.50","56.44","8.25","49.75","13-May-2024","655.00","570.90","26.31"
"JNK India Ltd.","23-Apr-2024","415","649.47","31.58","19.92","4.17","20.24","30-Apr-2024","621.00","694.55","67.36"
"Bharti Hexacom Ltd.","03-Apr-2024","570","4,275.00","20.07","10.28","2.74","16.87","12-Apr-2024","755.00","813.30","42.68"
"SRM Contractors Ltd.","26-Mar-2024","210","130.20","23.91","214.68","45.86","60.21","03-Apr-2024","215.25","226.00","7.62"
"Krystal Integrated Services Ltd.","14-Mar-2024","715","300.12","3.54","45.38","3.32","9.74","21-Mar-2024","785.00","712.85","-0.3"
"Popular Vehicles & Services Ltd.","12-Mar-2024","295","601.55","1.52","0.66","1.03","1.22","19-Mar-2024","289.20","276.15","-6.39"
"Gopal Snacks Ltd.","06-Mar-2024","401","650.00","7.99","9.95","4.08","6.88","14-Mar-2024","351.00","362.70","-9.55"
"J.G.Chemicals Ltd.","05-Mar-2024","221","251.19","13.41","47.72","17.59","20.02","13-Mar-2024","209.00","184.80","-16.38"
"R K SWAMY Ltd.","04-Mar-2024","288","423.56","8.85","34.16","33.33","14.81","12-Mar-2024","250.00","262.60","-8.82"
"Mukka Proteins Ltd.","29-Feb-2024","28","224.00","76.64","246.54","57.27","95.35","07-Mar-2024","40.00","42.25","50.89"
"Platinum Industries Ltd.","27-Feb-2024","171","235.32","61.19","141.66","50.17","69.40","05-Mar-2024","225.00","221.20","29.36"
"Exicom Tele-Systems Ltd.","27-Feb-2024","142","429.00","56.23","158.82","121.61","78.16","05-Mar-2024","265.00","224.95","58.42"
"GPT Healthcare Ltd.","22-Feb-2024","186","525.14","7.57","11.03","2.35","6.26","29-Feb-2024","215.00","200.70","7.9"
"Juniper Hotels Ltd.","21-Feb-2024","360","1,800.00","1.90","0.88","1.29","1.68","28-Feb-2024","365.00","401.50","11.53"
"Vibhor Steel Tubes Ltd.","13-Feb-2024","151","72.17","75.42","770.67","197.91","221.21","20-Feb-2024","425.00","446.25","195.53"
"Entero Healthcare Solutions Ltd.","09-Feb-2024","1,258","1,600.00","1.53","0.21","1.32","1.31","16-Feb-2024","1,228.70","1,149.55","-8.62"
"Rashi Peripherals Ltd.","07-Feb-2024","311","600.00","61.02","65.97","10.98","44.25","14-Feb-2024","339.50","321.50","3.38"
"Jana Small Finance Bank Ltd.","07-Feb-2024","414","570.00","16.59","26.18","5.81","13.94","14-Feb-2024","396.00","368.15","-11.07"
"Capital Small Finance Bank Ltd.","07-Feb-2024","468","523.07","3.40","4.11","2.62","3.23","14-Feb-2024","430.25","435.00","-7.05"
"Apeejay Surrendra Park Hotels Ltd.","05-Feb-2024","155","920.00","32.47","54.14","31.25","35.19","12-Feb-2024","186.00","203.55","31.32"
"BLS E-Services Ltd.","30-Jan-2024","135","309.29","49.54","298.02","226.49","94.98","06-Feb-2024","305.00","366.00","171.11"
"Nova AgriTech Ltd.","23-Jan-2024","41","143.81","32.51","232.54","78.22","78.51","31-Jan-2024","55.00","57.75","40.85"
"EPACK Durable Ltd.","19-Jan-2024","230","640.05","10.89","29.06","6.44","12.06","30-Jan-2024","221.00","207.60","-9.74"
"Medi Assist Healthcare Services Ltd.","15-Jan-2024","418","1,171.58","16.68","14.76","3.07","11.63","23-Jan-2024","460.00","464.10","11.03"
"Jyoti CNC Automation Ltd.","09-Jan-2024","331","1,000.00","19.08","38.31","26.48","22.59","16-Jan-2024","370.00","434.20","31.18"
