"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"ASK Automotive Ltd.","07-Nov-2023","282","833.91","57.55","35.43","5.55","36.03","15-Nov-2023","303.30","310.10","9.96"
"Protean eGov Technologies Ltd.","06-Nov-2023","792","489.95","19.37","31.98","8.70","17.11","13-Nov-2023","792.00","883.00","11.49"
"ESAF Small Finance Bank Ltd.","03-Nov-2023","60","463.00","73.45","88.93","17.83","54.68","10-Nov-2023","71.00","69.05","15.08"
"Honasa Consumer Ltd.","31-Oct-2023","324","1,701.44","5.22","4.02","1.31","4.65","07-Nov-2023","330.00","337.10","4.04"
"Cello World Ltd.","30-Oct-2023","648","1,900.00","49.78","24.45","3.17","29.50","06-Nov-2023","829.00","791.70","22.18"
"Blue Jet Healthcare Ltd.","25-Oct-2023","346","840.27","6.20","13.48","2.25","5.91","01-Nov-2023","380.00","413.40","19.48"
"IRM Energy Ltd.","18-Oct-2023","505","545.00","18.33","48.98","9.07","19.30","26-Oct-2023","477.25","473.15","-6.31"
"Plaza Wires Ltd.","29-Sep-2023","54","71.28","26.20","387.25","360.04","113.74","12-Oct-2023","76.00","80.20","48.52"
"Valiant Laboratories Ltd.","27-Sep-2023","140","152.46","8.78","73.74","15.72","20.95","06-Oct-2023","162.15","170.25","21.61"
"Updater Services Ltd.","25-Sep-2023","300","640.00","2.44","0.87","1.39","2.10","04-Oct-2023","285.00","283.90","-5.37"
"JSW Infrastructure Ltd.","25-Sep-2023","119","2,800.00","24.64","16.74","10.44","22.03","03-Oct-2023","143.00","157.30","32.18"
"Manoj Vaibhav Gems 'N' Jewellers Ltd.","22-Sep-2023","215","270.20","1.04","5.35","1.67","1.91","03-Oct-2023","215.00","215.50","0.23"
"Yatra Online Ltd.","15-Sep-2023","142","775.00","1.46","0.42","2.08","1.37","28-Sep-2023","127.50","135.90","-4.3"
"Sai Silks (Kalamandir) Ltd.","20-Sep-2023","222","1,201.00","5.51","2.56","0.87","3.45","27-Sep-2023","231.00","244.90","10.32"
"Signatureglobal (India) Ltd.","20-Sep-2023","385","730.00","6.19","14.23","6.97","7.47","27-Sep-2023","444.00","458.55","19.1"
"SAMHI Hotels Ltd.","14-Sep-2023","126","1,370.10","4.32","1.26","1.11","3.54","22-Sep-2023","134.50","143.40","13.81"
"Zaggle Prepaid Ocean Services Ltd.","14-Sep-2023","164","563.38","7.45","9.13","5.94","7.55","22-Sep-2023","164.00","158.35","-3.45"
"EMS Ltd.","08-Sep-2023","211","321.25","60.31","83.76","29.28","52.97","21-Sep-2023","282.05","279.90","32.65"
"R R Kabel Ltd.","13-Sep-2023","1,035","1,964.01","21.62","12.98","2.05","13.40","20-Sep-2023","1,180.00","1,198.05","15.75"
"Jupiter Life Line Hospitals Ltd.","06-Sep-2023","735","869.08","75.72","36.44","7.66","46.01","18-Sep-2023","973.00","1,075.75","46.36"
"Ratnaveer Precision Engineering Ltd.","04-Sep-2023","98","165.03","53.61","134.18","52.84","65.42","11-Sep-2023","123.20","129.35","31.99"
"Rishabh Instruments Ltd.","30-Aug-2023","441","490.78","29.51","31.39","8.16","22.32","11-Sep-2023","460.05","443.15","0.49"
"Vishnu Prakash R.Punglia Ltd.","24-Aug-2023","99","308.61","69.20","111.90","31.02","61.76","05-Sep-2023","165.00","145.70","47.17"
"Aeroflex Industries Ltd.","22-Aug-2023","108","351.00","76.90","131.40","34.55","69.39","31-Aug-2023","190.00","163.25","51.16"
"Pyramid Technoplast Ltd.","18-Aug-2023","166","153.05","4.69","32.25","14.24","14.98","29-Aug-2023","187.00","177.65","7.02"
"TVS Supply Chain Solutions Ltd.","10-Aug-2023","197","880.00","1.16","2.38","7.53","1.98","23-Aug-2023","207.05","201.00","2.03"
"Concord Biotech Ltd.","04-Aug-2023","741","1,550.52","27.62","16.94","3.70","17.64","18-Aug-2023","900.05","942.80","27.23"
"SBFC Finance Ltd.","03-Aug-2023","57","1,025.00","82.00","52.08","11.15","52.23","16-Aug-2023","82.00","92.20","61.75"
"Yatharth Hospital & Trauma Care Services Ltd.","26-Jul-2023","300","686.55","35.04","38.54","8.38","26.24","07-Aug-2023","306.10","333.85","11.28"
"Netweb Technologies India Ltd.","17-Jul-2023","500","631.00","88.64","84.21","18.74","63.41","27-Jul-2023","947.00","910.40","82.08"
"Utkarsh Small Finance Bank Ltd.","12-Jul-2023","25","500.00","54.91","88.11","76.14","61.41","21-Jul-2023","40.00","48.00","92"
"Senco Gold Ltd.","04-Jul-2023","317","405.00","76.81","68.13","15.73","54.13","14-Jul-2023","430.00","405.30","27.85"
"Cyient DLM Ltd.","27-Jun-2023","265","592.00","39.02","47.07","50.38","40.27","10-Jul-2023","403.00","420.60","58.72"
"ideaForge Technology Ltd.","26-Jun-2023","672","567.24","51.13","78.41","82.03","58.23","07-Jul-2023","1,300.00","1,294.95","92.7"
"HMA Agro Industries Ltd.","20-Jun-2023","585","480.00","1.35","3.13","0.96","1.48","04-Jul-2023","625.00","585.65","0.11"
"IKIO Lighting Ltd.","06-Jun-2023","285","606.50","66.57","61.16","13.77","47.28","16-Jun-2023","392.50","403.85","41.7"
"Mankind Pharma Ltd.","25-Apr-2023","1,080","4,326.36","20.32","3.59","0.89","11.01","09-May-2023","1,300.00","1,080.00","0"
"Avalon Technologies Ltd.","03-Apr-2023","436","865.00","2.12","0.37","0.84","1.73","18-Apr-2023","436.00","398.00","-8.72"
"Udayshivakumar Infra Ltd.","20-Mar-2023","35","66.00","40.11","64.49","14.73","32.20","03-Apr-2023","0.00","31.50","-10"
"Global Surfaces Ltd.","13-Mar-2023","140","154.98","4.25","33.22","4.98","8.85","23-Mar-2023","164.00","171.05","22.18"
"Divgi TorqTransfer Systems Ltd.","01-Mar-2023","590","412.12","3.76","1.37","4.17","3.44","14-Mar-2023","620.00","605.20","2.58"
